"Displayname","UserPrincipalName","CanonicalName","Licenses","ServicePlan","ServicePlansStatus"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INTUNE_A","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FORMS_PLAN_E5","Success"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ADALLOM_S_STANDALONE","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MFA_PREMIUM","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_ENTERPRISE","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP1","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP2","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FLOW_O365_P3","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCHANGE_S_ENTERPRISE","Success"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","LOCKBOX_ENTERPRISE","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM2","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ATA","Disabled"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM_P2","Success"
"Generic Mailbox 1","mailbox1@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM","Success"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","VIVA_LEARNING_SEEDED","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Nucleus","PendingProvisioning"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_Exchange","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFT_COMMUNICATION_COMPLIANCE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","GRAPH_CONNECTORS_SEARCH_INDEX","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Content_Explorer","PendingProvisioning"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","POWER_VIRTUAL_AGENTS_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","CDS_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PROJECT_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INSIDER_RISK","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCEL_PREMIUM","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MTP","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFT_SEARCH","PendingProvisioning"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","DYN365_CDS_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFTBOOKINGS","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RECORDS_MANAGEMENT","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ML_CLASSIFICATION","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INSIDER_RISK_MANAGEMENT","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INFO_GOVERNANCE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","DATA_INVESTIGATIONS","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","CUSTOMER_KEY","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","COMMUNICATIONS_DLP","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","COMMUNICATIONS_COMPLIANCE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SAFEDOCS","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","M365_ADVANCED_AUDITING","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","YAMMER_ENTERPRISE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","WHITEBOARD_PLAN3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","BPOS_S_TODO_3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SWAY","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MCOSTANDARD","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SHAREPOINTENTERPRISE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","POWERAPPS_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","BI_AZURE_P2","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MCOEV","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SHAREPOINTWAC","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","OFFICESUBSCRIPTION","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PAM_ENTERPRISE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","THREAT_INTELLIGENCE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ATP_ENTERPRISE","PendingProvisioning"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ADALLOM_S_O365","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EQUIVIO_ANALYTICS","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INTUNE_O365","PendingActivation"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","TEAMS1","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","STREAM_O365_E5","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Deskless","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PROJECTWORKMANAGEMENT","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCHANGE_ANALYTICS","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INTUNE_A","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FORMS_PLAN_E5","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ADALLOM_S_STANDALONE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MFA_PREMIUM","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_ENTERPRISE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP1","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP2","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FLOW_O365_P3","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCHANGE_S_ENTERPRISE","Success"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","LOCKBOX_ENTERPRISE","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM2","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ATA","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM_P2","Disabled"
"Generic Mailbox 2","mailbox2@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM","Disabled"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","VIVA_LEARNING_SEEDED","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Nucleus","PendingProvisioning"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_Exchange","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFT_COMMUNICATION_COMPLIANCE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","GRAPH_CONNECTORS_SEARCH_INDEX","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Content_Explorer","PendingProvisioning"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","POWER_VIRTUAL_AGENTS_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","CDS_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PROJECT_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INSIDER_RISK","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCEL_PREMIUM","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MTP","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFT_SEARCH","PendingProvisioning"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","DYN365_CDS_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MICROSOFTBOOKINGS","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RECORDS_MANAGEMENT","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ML_CLASSIFICATION","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INSIDER_RISK_MANAGEMENT","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INFO_GOVERNANCE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","DATA_INVESTIGATIONS","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","CUSTOMER_KEY","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","COMMUNICATIONS_DLP","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","COMMUNICATIONS_COMPLIANCE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SAFEDOCS","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","M365_ADVANCED_AUDITING","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","YAMMER_ENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","WHITEBOARD_PLAN3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","BPOS_S_TODO_3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SWAY","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MCOSTANDARD","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SHAREPOINTENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","POWERAPPS_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","BI_AZURE_P2","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MCOEV","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","SHAREPOINTWAC","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","OFFICESUBSCRIPTION","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PAM_ENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","THREAT_INTELLIGENCE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ATP_ENTERPRISE","PendingProvisioning"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ADALLOM_S_O365","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EQUIVIO_ANALYTICS","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INTUNE_O365","PendingActivation"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","TEAMS1","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","STREAM_O365_E5","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","Deskless","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","PROJECTWORKMANAGEMENT","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCHANGE_ANALYTICS","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","INTUNE_A","PendingInput"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FORMS_PLAN_E5","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ADALLOM_S_STANDALONE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MFA_PREMIUM","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_ENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP1","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","MIP_S_CLP2","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","FLOW_O365_P3","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","EXCHANGE_S_ENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","LOCKBOX_ENTERPRISE","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM2","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","RMS_S_PREMIUM","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","ATA","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM_P2","Success"
"Generic Mailbox 3","mailbox3@devhomenet.onmicrosoft.com",,"devhomenet:DEVELOPERPACK_E5","AAD_PREMIUM","Success"
